 Active Chilled Beam             | chilled-beam-unit | active-chilled-beam
 Anaerobic Digester              | anaerobic-digester | methane-digester
 Anchor Windlass                 | hydraulic-anchor-windlass | anchor-windlass
 Apron Feeder                    | reclaim-apron-feeder | apron-feeder-heavy | apron-feeder
 Articulating Boom Lift          | articulating-boom-lift | boom-lift
 Auto Rickshaw                   | auto-rickshaw | autorickshaw
 Biomass Gasifier                | pyrolysis-gasifier | biomass-gasifier
 Blister Packaging Machine       | blister-packaging-machine | blister-pack-machine | rotary-blister-machine
 Bottle Washing Machine          | bottle-washer | bottle-washing-machine-food
 Bow Thruster                    | tunnel-bow-thruster | bow-thruster
 Brine Injection Machine         | brine-injector-meat | meat-brine-injector
 Bucket Elevator                 | bucket-elevator | bucket-elevator-industrial
 Burr Coffee Grinder             | burr-coffee-grinder | coffee-grinder
 Can Seaming Machine             | can-seamer | can-seaming-machine
 Case Erector                    | case-erector | case-erector-beverage
 Case Packer                     | automatic-case-packer | case-packer
 CNC Plasma Cutting Table        | cnc-plasma-table | plasma-cutting-table
 Compressor Ice Cream Maker      | ice-cream-maker | ice-cream-maker-compressor
 Concert Pedal Harp              | harp | concert-harp
 Cone Crusher                    | secondary-cone-crusher | cone-crusher
 Continuous Butter Churn         | continuous-butter-churn | butter-churn-continuous
 Continuous Grain Dryer          | grain-dryer | grain-dryer-continuous
 Continuous Ice Cream Freezer    | ice-cream-freezer-continuous | continuous-ice-cream-freezer
 Continuous Inkjet Coder         | inkjet-coder | continuous-inkjet-coder
 Continuous Miner                | bord-and-pillar-miner | continuous-miner
 Cooling Tower                   | cooling-tower-large | cooling-tower
 Coordinate Measuring Machine    | cmm-coordinate-measuring-machine | cmm-machine
 Cotton Picker                   | spindle-cotton-harvester | cotton-picker
 Cycle Rickshaw                  | rickshaw-tricycle | cycle-rickshaw
 Dairy Homogenizer               | homogenizer-dairy | dairy-homogenizer
 Demolition Robot                | selective-demolition-robot | demolition-robot
 Dental Articulator              | dental-articulator | semi-adjustable-articulator
 Depalletizer                    | depalletizer-beverage | depalletizer
 Drilling Mud Pump               | mud-pump-drilling | mud-pump
 Dust Suppression Cannon         | telescopic-dust-cannon | dust-suppression-cannon
 Electric Car                    | ev-car | electric-car
 Electric Chain Hoist            | electric-chain-hoist | chain-hoist
 Electric Griddle                | electric-griddle | electric-griddle-pancake
 Electric Pasta Maker            | electric-pasta-maker | electric-pasta-machine
 Electric Wok                    | electric-wok-home | electric-wok
 Envelope Making Machine         | envelope-making-machine | envelope-machine
 Extrusion Blow Molding Machine  | extrusion-blow-molder | extrusion-blow-molding-machine
 Feed Hammer Mill                | feed-hammer-mill | hammer-mill-feed
 Fiber Laser Cutting Machine     | fiber-laser-cutter | fiber-laser-cutting-machine
 Flash Butt Welding Machine      | flash-butt-welder | rail-flash-butt-welder
 Food Dehydrator                 | home-food-dehydrator | food-dehydrator
 Friction Stir Welding Machine   | friction-stir-welding-machine | friction-stir-welder
 Grape Harvester                 | mechanical-grape-harvester | grape-harvester
